,0,1,2
0,20.61405,16.343805,8.527799
1,29.553066,23.90855,12.504731
2,30.074924,24.279171,12.710376
3,30.323502,24.671432,12.870585
4,30.484337,24.750599,12.936217
5,32.56605,26.596878,14.043541
6,31.532433,25.715714,13.476095
7,32.152397,26.361746,13.905419
8,33.467262,27.61282,14.452113
9,31.922974,26.048618,13.639969
10,32.539936,25.863758,13.604621
11,35.436817,28.826357,15.310668
12,31.81205,25.95272,13.568802
13,30.893047,25.03082,13.088163
14,32.101974,26.046585,13.720822
15,33.881428,27.25818,14.391791
16,32.391197,26.087547,13.629968
17,34.625027,27.993393,14.874211
18,36.41435,29.07719,15.36792
19,37.217304,29.585196,15.766253
20,36.012993,29.418053,15.518172
21,34.58296,27.5853,14.454978
22,33.847828,26.882776,14.309873
23,33.155277,26.114693,13.783187
24,36.685055,29.52237,15.568189
25,38.82645,31.323732,16.764553
26,35.31361,28.501755,15.036436
27,35.70425,28.460762,14.933925
28,37.44341,29.129662,15.536891
29,34.52956,27.340813,14.56928
30,35.359024,27.883682,14.719766
31,37.12132,28.863834,15.350141
32,35.462322,28.34214,14.91906
33,31.118795,25.113758,13.0520315
34,41.407497,33.390404,17.656336
35,37.892063,29.503338,15.751447
36,32.720985,27.018776,13.893911
37,37.315384,28.910007,15.3887
38,36.53754,29.662193,15.459846
39,38.702686,30.643417,16.323282
40,37.7424,29.15974,15.655039
41,39.000248,30.468712,16.156279
42,39.744022,32.34002,17.061556
43,34.857403,27.604328,14.501072
44,23.522945,10.68975,4.2890244
45,39.068634,17.407597,8.922048
46,39.973362,18.283245,9.569769
47,40.852104,18.67867,9.665719
48,40.65984,18.486624,9.760984
49,39.39805,17.624195,9.069577
50,40.896896,18.646816,9.677837
51,40.394093,18.262821,9.451264
52,41.226383,19.221992,10.191596
53,41.218346,18.832693,9.886144
54,40.81947,18.431389,9.69265
55,40.68116,18.501364,9.713952
56,42.038883,19.29134,10.126996
57,40.268566,18.02136,9.5099
58,41.643997,18.99174,10.102103
59,41.576008,18.972275,9.9995985
60,42.140594,18.83519,10.092504
61,42.00169,19.403355,10.283152
62,43.232327,20.041443,10.489043
63,21.776684,10.279043,5.9774537
64,21.944614,10.2813635,6.051381
65,22.016882,10.442744,6.196776
66,22.059086,10.401959,6.060425
67,22.01757,10.432133,6.185982
68,22.088589,10.454195,6.2343636
69,22.617447,10.767089,6.499313
70,24.312439,10.376134,6.0676208
71,22.836685,10.780572,6.484285
72,22.345581,10.566532,6.348699
73,22.965942,11.253422,6.7672887
74,23.092793,10.986021,6.578433
75,23.851196,10.918138,6.556617
76,23.35028,11.246522,6.631542
77,23.660648,11.272319,6.770681
78,23.305237,11.099396,6.66513
79,23.739323,11.109997,6.706589
80,23.119976,11.10869,6.5415416
81,24.297283,11.087508,6.506393
82,22.895336,10.97923,6.6338506
83,23.650105,11.164906,6.7019258
84,24.11846,11.117518,6.667055
85,29.093575,17.539452,13.73236
86,28.954811,17.208496,13.254967
87,28.866056,17.264061,13.230601
88,31.698017,18.681553,14.67388
89,29.828758,17.674515,13.790032
90,33.27226,19.386765,15.267453
91,29.287842,17.367266,13.594343
92,32.99834,18.87593,14.830865
93,33.631683,19.552979,15.317892
94,29.737968,17.641205,13.806308
95,32.767624,19.299646,15.344932
96,34.681583,19.99725,15.877874
97,34.301903,20.197262,16.003988
98,33.790653,19.658197,15.494086
99,20.131279,17.041977,25.998384
100,19.881939,17.085045,25.892084
101,21.496157,18.283798,27.701082
102,21.993038,18.612541,27.805098
103,22.259197,18.922083,28.17872
104,21.183603,17.81615,27.195116
105,20.38913,17.788132,26.867798
106,21.369057,18.025084,27.425058
107,21.549864,18.377407,27.48651
108,23.024452,20.073254,29.251955
109,22.367634,19.362297,28.480993
110,22.095987,19.074154,28.122675
111,21.54347,18.733246,28.161896
112,22.931198,19.772142,28.927057
113,21.947376,19.273045,28.713282
114,20.235058,18.428972,27.504982
115,21.209196,23.180056,31.492964
116,23.100748,20.034344,29.421257
117,22.07342,19.142103,28.43251
118,22.480362,19.638012,29.427164
119,24.115881,21.41878,30.548714
120,23.515888,20.580898,29.894726
121,23.328812,20.588049,30.381798
122,22.583242,20.613155,30.288948
123,22.823523,19.639292,29.20094
124,21.825085,19.51944,29.1607
125,22.81455,20.186895,28.786028
126,23.51643,20.16864,29.817427
127,23.090874,20.15607,29.092989
128,24.263,21.23831,30.242727
129,24.543346,21.026608,30.60425
130,24.744637,21.225182,30.809893
131,24.759857,21.653296,31.125072
132,22.379683,19.549175,29.535019
133,22.891665,21.378796,30.994595
134,23.339315,20.558285,29.43559
135,22.919373,20.36006,29.982588
136,23.410892,20.55392,29.51481
137,23.674824,20.519268,29.667265
138,23.11953,20.536884,30.343273
139,23.780571,20.827158,29.753458
140,23.775414,20.565203,29.828032
141,23.702904,20.699083,29.836775
142,24.896984,21.543446,30.8713
143,24.230543,21.31837,31.052958
144,23.283665,20.245626,30.173067
145,23.29914,20.30058,29.895107
146,24.379658,23.179276,32.44609
147,23.886269,21.538864,30.719872
148,22.213476,20.340832,30.443363
149,23.827932,23.529295,32.985535
150,22.747217,21.143116,30.980717
151,24.609915,24.727863,34.72555
152,24.897934,21.434664,31.5475
153,25.98231,23.155867,33.090637
154,24.139843,21.089355,30.420979
155,25.502857,22.153751,31.689512
156,22.596954,22.177357,31.317144
157,22.501293,21.066393,31.50635
158,24.48489,21.634016,30.66147
159,24.353432,21.544456,30.690683
160,24.23285,21.253786,31.9091
161,23.50772,21.911629,31.91879
162,24.398611,21.666716,31.005682
163,24.726189,21.610975,31.15597
164,25.699879,22.691704,32.29442
165,23.998854,20.986805,31.591032
166,24.304121,21.63494,31.279617
167,22.737303,22.110561,32.855972
168,24.689018,21.565939,31.93992
169,24.633013,22.430223,32.068966
170,24.528488,21.155844,31.385357
171,22.401245,24.091972,33.66556
172,24.297356,21.241467,31.374609
173,24.855787,21.883877,31.448969
174,25.332808,22.291153,32.11833
175,24.098574,21.50083,31.799776
176,25.97852,22.427965,32.417736
177,25.41035,23.467472,33.900684
178,25.22787,22.1394,32.10216
179,25.000343,22.388983,31.710936
180,24.63136,23.429956,33.008545
181,23.501173,22.974443,32.60719
182,25.173313,21.895966,31.775066
183,22.832748,24.13003,34.145557
184,23.583298,22.734953,32.60978
185,26.512026,23.029903,33.196564
186,24.871792,21.883083,31.987127
187,26.939219,23.501257,33.696747
188,25.707535,22.428993,32.429184
189,25.016731,21.426262,32.36889
190,24.854446,23.659344,33.162445
191,26.884092,23.225792,33.730988
192,26.50568,22.992737,33.283947
193,24.92819,23.687672,33.28027
194,25.754261,23.779352,33.436363
195,24.170923,23.540543,33.699337
196,25.519337,21.7881,32.442516
197,25.559948,25.249527,35.431793
198,26.35422,24.442186,35.014206
199,24.779543,21.253603,32.319946
200,25.73517,23.685053,34.23815
201,24.958271,23.988005,34.21074
202,24.625225,23.737764,33.781128
203,25.78912,24.406712,34.09759
204,25.533567,25.591497,36.111217
205,24.529165,25.672321,35.708458
206,25.72044,25.077684,34.525234
207,24.376049,24.236603,35.371086
208,25.758417,25.411312,35.87497
209,26.375233,25.415697,35.717907
210,25.61255,24.303982,34.010807
211,23.926863,25.761463,36.693184
212,26.39936,25.596891,35.81321
213,26.458012,25.562616,36.10804
214,25.043081,25.216843,35.5659
215,26.448692,22.946768,33.275314
216,26.04178,22.542265,33.79735
