,0,1,2
0,24.812597,11.804437,20.371048
1,27.587152,12.668542,23.540512
2,27.74275,12.751807,23.630455
3,27.926151,12.839789,23.972054
4,27.585869,12.654832,23.564854
5,28.113922,12.810872,24.170145
6,28.296997,12.950319,24.286491
7,28.329512,12.864828,24.237919
8,28.310234,12.679599,23.945065
9,28.530529,12.964383,24.522007
10,28.802948,13.101304,24.074747
11,28.51354,13.184381,24.093807
12,28.444025,12.986875,24.466135
13,34.609596,16.051031,23.335068
14,29.063938,13.116153,25.031792
15,28.110104,12.899253,24.164745
16,28.883478,13.174409,24.008018
17,29.09661,13.419305,23.887856
18,28.534245,13.0699625,24.664164
19,29.14666,13.346746,24.651533
20,29.345383,13.347808,24.383324
21,30.541973,14.135722,23.751736
22,34.510033,15.913367,24.139555
23,27.74521,12.964219,23.716734
24,36.215923,16.806929,23.852104
25,29.923084,13.752801,23.658875
26,29.586525,13.645618,24.644732
27,29.20045,13.432363,24.916002
28,28.90369,13.328337,24.048351
29,29.984318,13.8431425,24.793892
30,34.851933,16.222578,23.116611
31,28.50886,13.21846,23.975355
32,29.738012,13.748984,23.528316
33,30.196604,13.757678,25.13647
34,36.0114,16.618027,23.737986
35,32.96364,15.278359,23.436207
36,29.148455,13.574395,23.162544
37,33.114937,15.297481,23.06694
38,29.369211,13.530515,24.102142
39,28.33152,12.904765,24.09612
40,35.579613,16.210985,24.911886
41,34.554115,16.058638,24.389687
42,29.305382,13.504231,24.61382
43,30.593824,14.191544,23.357557
44,30.048077,13.887523,23.82837
45,30.561165,14.093612,24.19748
46,30.013304,13.935736,24.130144
47,29.367937,13.47137,24.33712
48,30.815044,14.469277,22.422758
49,29.970959,13.6769285,25.129145
50,29.015917,13.375501,24.55376
51,33.615723,15.613088,23.650455
52,30.776905,14.245382,24.049042
53,31.156082,14.337458,24.768383
54,30.50538,14.123678,23.149687
55,28.181192,13.085809,24.407433
56,31.838982,14.894223,22.132126
57,31.076485,14.325139,23.92009
58,28.449982,13.032857,23.738508
59,29.911795,13.856778,24.034578
60,30.004948,13.675769,25.372087
61,30.112083,13.944828,23.806173
62,30.174898,13.984906,24.308119
63,30.136387,13.838771,25.047987
64,29.952198,13.675839,25.528938
65,30.61559,13.931659,24.043037
66,31.325417,14.316178,24.687372
67,31.476578,14.466451,24.632809
68,29.591026,13.936301,23.840908
69,30.266808,13.679146,25.246414
70,30.722767,14.266822,23.880049
71,33.538097,15.4087105,24.558207
72,31.283104,14.271138,24.956976
73,31.125923,14.369413,24.389854
74,29.547207,13.834299,22.792318
75,31.153584,14.371068,24.467592
76,30.65207,13.991771,25.201553
77,29.89499,13.828967,25.074196
78,24.007854,16.13326,5.865708
79,16.586918,8.663735,0.0
80,17.829597,10.146183,0.0
81,16.834257,8.719344,0.0
82,16.348263,8.65063,0.0
83,16.939432,8.89157,0.0
84,16.386826,8.611607,0.0
85,16.762642,8.762633,0.0
86,16.889854,8.868688,0.0
87,16.89296,9.200854,0.0
88,16.657988,8.848289,0.0
89,16.64098,8.561444,0.0
90,16.720564,8.839338,0.0
91,16.966206,8.889653,0.0
92,16.383053,8.771064,0.0
93,16.877367,8.979511,0.0
94,16.983217,9.05095,0.0
95,16.92072,9.000521,0.0
96,16.85105,8.939341,0.0
97,16.868021,9.090795,0.0
98,16.601385,9.023124,0.0
99,17.034637,9.17084,0.0
100,31.374619,4.935484,5.968898
101,23.52416,2.276267,2.22812
102,25.094992,2.5430784,3.1845334
103,22.996838,2.1286325,1.8946211
104,23.526615,2.077426,2.2802818
105,23.205364,2.4155712,2.3485987
106,22.798952,2.0702639,1.896589
107,23.496632,1.9143535,2.022352
108,24.17057,1.9868175,2.3380191
109,22.630753,3.0618515,2.423321
110,23.021366,2.097476,2.0440967
111,31.602833,3.253662,6.2544947
112,25.853094,2.6318827,3.4857633
113,25.295263,2.3664427,2.9901788
114,36.38118,4.525713,8.658107
115,36.862328,4.71622,8.802973
116,25.693495,2.5101795,3.2611492
117,22.313404,1.801076,1.3066161
118,26.516283,2.6885748,3.7166708
119,34.668346,3.8265676,7.2439213
120,24.676487,2.0590754,2.2590969
121,24.347178,1.9752485,2.216143
122,23.445251,1.872285,1.6658633
123,23.669851,2.622055,2.264342
124,23.489185,1.8370849,1.4261878
125,24.59658,2.066371,2.026004
126,23.70568,0.0,16.25871
127,23.732101,0.0,16.13204
128,24.992378,0.0,15.914028
129,23.774342,0.0,16.384766
130,28.019491,0.0,16.547815
131,33.236065,2.4206295,18.279474
132,24.949287,0.0,17.632708
133,26.394228,0.0,16.822084
134,25.980526,0.0,16.834286
135,26.614305,0.0,17.418413
136,24.967583,0.0,17.091412
137,26.07518,0.0,17.238983
138,27.129364,0.0,17.333426
139,25.050879,0.0,17.607119
140,27.750486,0.0,17.093939
141,27.429878,0.0,17.370966
142,28.581749,0.0,16.234886
143,27.394926,0.0,16.735653
144,27.54666,0.0,17.42182
145,28.177847,0.0,17.94437
146,26.459663,0.0,18.80546
147,27.848495,0.0,19.45377
148,34.562603,34.769394,34.328583
149,35.08702,35.039513,35.149837
150,36.960274,36.08305,37.546375
151,39.48336,38.573277,41.524532
152,37.998947,36.364094,38.873734
153,39.920353,38.198246,41.94277
154,37.680054,37.500366,38.90021
155,39.786083,37.521893,41.179966
156,40.218025,38.326603,42.341682
157,38.808144,37.90579,40.651222
158,43.937386,42.441616,42.698177
159,43.324078,40.912563,46.426533
160,39.049633,38.07386,40.71077
161,39.89904,38.601532,41.647556
162,40.827072,38.706135,42.903927
163,41.190804,38.546764,43.367744
164,37.61276,37.674236,38.692677
165,38.706238,37.50259,39.605694
166,39.254265,37.469593,40.875572
167,40.60899,37.443264,42.121937
168,40.582672,37.322536,41.672955
169,41.48946,39.123676,43.731144
170,40.46543,39.29039,42.91602
171,45.817024,42.583813,49.512154
172,41.95998,38.97446,44.093567
173,41.66845,39.84027,44.023346
174,41.401043,40.183903,43.64394
175,40.774178,38.84052,43.10236
176,41.42495,38.25808,43.73837
177,41.579754,39.194344,44.11159
178,43.2911,39.33789,46.03876
179,43.901833,42.057415,42.711777
180,42.309578,39.016537,44.9508
181,42.408287,38.947536,44.91534
182,42.830807,39.083313,45.27288
183,46.154358,44.538155,44.935543
184,40.30243,39.49753,42.81931
185,50.10675,47.42661,48.16772
186,40.938587,38.896954,43.037247
187,41.907818,40.585587,44.176422
188,41.68681,38.612656,44.159832
189,41.65144,38.557255,44.160366
190,45.258404,43.444305,44.47424
191,41.707123,38.63217,44.264874
192,42.183716,38.63921,44.674103
193,41.309593,39.77052,43.862663
194,40.916275,39.76849,42.37166
195,42.01735,38.88043,44.64513
196,49.656475,46.39908,47.25555
197,41.05464,38.89865,43.43767
198,41.024845,39.2841,43.526863
199,43.32886,40.513275,46.25229
200,42.856667,38.816196,45.17184
201,42.34107,40.34032,43.345634
202,44.492203,41.186913,46.452217
203,46.950424,44.22591,45.407593
204,40.565784,40.26843,42.836643
205,42.69987,39.5249,45.0659
206,47.48088,45.64812,50.24314
207,42.335876,39.227406,44.70434
208,52.72,50.382015,51.49017
209,47.82119,44.531277,44.34556
210,42.336082,39.0929,44.955914
211,46.137184,44.47733,47.72047
212,47.04204,43.46747,50.72491
213,42.807297,38.984776,44.50497
214,42.71338,38.898502,45.25385
215,44.68535,40.52803,47.770042
216,42.516613,42.47996,45.206844
217,43.17124,39.27524,45.95927
218,41.931614,40.767982,44.627426
219,43.01706,39.399445,45.700092
220,42.34827,39.373676,44.547558
221,42.615555,41.33295,44.82887
222,42.84177,39.536556,45.615643
223,41.992928,39.625862,44.694256
224,44.022957,39.822063,47.062508
225,44.029205,40.587696,45.201332
226,42.98367,41.054432,44.249268
227,42.899246,39.387882,45.48823
228,41.901085,40.804523,44.327335
229,43.456085,42.11886,42.27356
